FID,smpl_nm,lon,lat,carbon,WIPv8,Precip,TWI,DTW,slope,MHCLASS,StudyArea,HGM,MHCLASS_FACT,HGM_FACT,WIP_CHECK,RIVWETUP,WIP_CHECK2,RIV_WET_UP_CLEAN,SLP_CHECK,DTW_CHECK,TWI_CHECK,LANDFORMS,PENN_LANDF,TREE_HT,hoh_geo,DEV_300
0,H-C-01-DNR-WET,-124.18391,47.80303,471.6,0.905,3233,9.3056498,85.7089996,0.001,WET,HOH,DEP,2,2,0.13,2,0.265,2,3.3722868,211.5128326,1.9196355,6,7,14.62850952,3,-0.675863
1,H-C-02-DNR,-124.20276,47.79685,280.6,0.925,3233,2.92869,54.1556015,0.106934,WET,HOH,DEP,2,2,0.045,2,0.045,2,0,303.0978088,2.9286892,9,7,14.61306763,3,-1.01586
2,H-C-05-2020,-124.25752,47.78431,92.3,0.785,3177,1.29313,2.6401701,0.274411,RIV,HOH,RIV,3,3,0.14,3,0.81,3,7.5061426,3.5278964,1.2931291,106,8,91.42588806,2,-0.173796
3,H-C-06-DNR,-124.1076,47.79411,597.4,0.485,3234,7.0679798,122.3539963,0.0724163,WET,HOH,DEP,2,2,0.165,2,0.255,2,0,297.2086182,3.4549215,6,7,50.74212646,3,-0.244932
4,H-C-08-DNR,-124.23543,47.79654,430,0.225,3197,1.43629,136.4400024,0.237809,UPL,HOH,DEP,1,2,0.245,1,0.765,1,10.0249882,201.4339905,1.4362884,6,7,14.29806519,3,1.3626699
5,H-C-10-2020,-124.21409,47.79968,604.4,0.495,3197,11.8129997,96.2640991,0.001,WET,HOH,DEP,2,2,0.3,2,0.11,2,0,251.3884125,11.8130302,9,7,38.92785645,3,1.32532
6,H-C-11R2-TNC,-124.08934,47.80988,151.4,0.39,3234,3.6264801,4.1051402,0.106438,RIV,HOH,UPL,3,1,0.415,3,0.74,3,0,36.3758125,5.7104425,106,8,22.93954468,2,0.495313
7,H-C-14-2020,-124.09522,47.77797,246.1,0.27,3255,9.5826597,34.5237007,0.0086141,WET,HOH,UPL,2,1,0.43,1,0.64,1,0,335.0044861,3.0902054,6,7,108.7243652,3,-0.586509
8,H-C-16-TNC,-124.12246,47.82126,562.7,0.105,3234,0.181457,216.8760071,0.834054,UPL,HOH,UPL,1,1,0.765,1,0.985,1,3.3722868,305.1112366,0.1814575,6,1,20.86297607,3,-0.210639
9,H-C-19-DNR,-124.13073,47.78582,492.3,0.26,3246,1.17867,138.9900055,0.307686,WET,HOH,UPL,2,1,0.615,2,0.945,2,7.5061426,356.4464417,1.1786742,6,1,8.39239502,3,0.191491
10,H-C-23-2020,-124.11282,47.78083,74.1,0.15,3255,0.94842,112.8130035,0.387353,UPL,HOH,UPL,1,1,0.725,1,0.905,1,9.4623222,435.58078,0.94842,6,1,17.65075684,3,0.982022
11,H-C-28-DNR,-124.18233,47.78234,172,0.34,3265,5.90485,4.3382401,0.0436189,RIV,HOH,UPL,3,1,0.915,3,0.835,3,3.3722868,394.6289063,5.9048538,6,4,78.12670898,3,0
12,H-C-30-2020,-124.16151,47.79273,414.1,0.055,3242,0.206238,108.5859985,0.81364,UPL,HOH,UPL,1,1,0.95,1,1,1,13.2626762,290.4913025,0.1720799,6,1,104.0977173,3,0.230339
13,H-CE-20-DNR,-124.12379,47.77198,387,0.315,3255,5.2702198,150.9689941,0.298264,WET,HOH,UPL,2,1,0.505,2,0.515,2,3.3722868,617.4755249,5.2702188,6,7,7.059814453,3,-0.358826
14,H-CN-17R2-DNR,-124.24311,47.83865,320.7,0.205,3191,1.03993,14.9380999,0.353478,RIV,HOH,UPL,3,1,0.535,2,0.95,2,11.9946594,348.6212769,1.039934,9,7,21.36001587,3,0.581422
15,H-CW-12-TNC,-124.3624,47.74994,474.3,0.275,3049,3.3663399,207.7640076,0.0690313,WET,HOH,UPL,2,1,0.575,2,0.775,2,0,30.4852657,3.3663423,6,4,46.49963379,3,-0.495098
16,H-CW-14-TNC,-124.34051,47.72994,590.4,0.225,3049,1.43313,100.4629974,0.23856,UPL,HOH,UPL,1,1,0.675,1,0.945,1,9.4623222,316.6529846,1.4331349,7,4,17.62313843,3,-0.229045
17,H-CW-19R2-TNC,-124.32129,47.73167,250,0.085,3162,-0.261157,31.9237003,1.29843,UPL,HOH,UPL,1,1,0.915,1,0.98,1,18.4349499,362.3753967,-0.2611574,6,7,38.68661499,3,-0.22338
18,H-E-07-2020,-123.99368,47.80539,185.2,0.56,3015,2.1314001,9.2258196,0.118671,RIV,HOH,UPL,3,1,0.22,3,0.46,3,11.9946594,8.711998,2.1313977,6,4,10.94873047,2,-0.43769
19,H-E-29-2020,-124.03741,47.80178,91.8,0.05,3097,0.361037,160.4839935,0.696953,UPL,HOH,UPL,1,1,0.92,1,0.995,1,16.416441,412.2112122,1.1698004,6,1,28.72424316,1,0.0559771
20,H-W-06-TNC,-124.39334,47.74146,84.8,0.64,2987,2.4461,29.2754993,0.259893,RIV,HOH,RIV,3,3,0.27,3,0.61,3,10.5553808,34.1495438,2.4460976,109,8,56.78243256,2,-0.699427
21,H-W-08-TNC,-124.39617,47.73899,560.8,0.185,2987,7.6009002,88.9101028,0.001,UPL,HOH,UPL,1,1,0.36,1,0.74,1,7.5061426,82.4822235,7.6009026,6,7,64.22284699,3,-0.155219
22,H-W-11-2020,-124.27909,47.73672,620.8,0.605,3256,16.0900002,81.1007004,0.001,WET,HOH,RIV,2,3,0.335,2,0.24,2,10.5553808,476.8301697,16.090004,7,7,59.66323852,3,1.48719
23,H-W-13-2020,-124.30221,47.73943,628.8,0.335,3162,2.5237,93.5673981,0.0801626,WET,HOH,DEP,2,2,0.4,2,0.36,2,0,327.697113,2.5236983,6,7,65.53356934,3,0.496415
24,H-W-15-2020,-124.37453,47.69799,518.6,0.43,3158,4.8776898,87.2947998,0.251282,WET,HOH,DEP,2,2,0.465,2,0.345,2,9.4623222,572.0092773,4.877686,6,4,67.55142212,3,-0.888816
25,H-W-22-2020,-124.29136,47.73697,680.7,0.4,3256,3.9823,75.3235016,0.242356,WET,HOH,DEP,2,2,0.69,2,0.45,2,10.0249882,410.8200989,5.2529492,9,7,17.68453979,3,0.704463
26,H-W-26-2020,-124.37003,47.69875,380.8,0.1,3158,6.1603498,90.6886978,0.107688,UPL,HOH,UPL,1,1,0.89,1,0.845,1,0,612.8596191,1.5873423,6,7,54.77500915,3,0.0479742
27,W Hoh Oxbow,-124.2607,47.81075,69.56091883,0.155,3199,6.1110601,217.3659973,0.58117,UPL,HOH,RIV,1,3,0.685,1,0.49,1,9.4623222,293.4936218,9.7320518,6,7,35.74530029,3,-0.210652
28,E-ML-FR-H-1040,-124.116967,47.77839,696.4869591,0.87,3255,11.9164,60.4962006,0.0386017,WET,HOH,DEP,2,2,0.19,2,0.005,2,0,428.5816956,11.9164438,6,4,54.38012695,3,-1.05716
29,Hoh-ML-FR-1008.1,-124.188779,47.797501,294.9642077,0.265,3233,1.85532,30.0018997,0.156403,WET,HOH,UPL,2,1,0.105,2,0.685,2,0,263.9800415,1.8553184,6,7,65.05352783,3,-0.494211
30,Hoh-ML-NE-FR-1043,-124.110355,47.7872,780.383736,0.89,3255,2.0576701,64.4094009,0.255501,WET,HOH,DEP,2,2,0.27,2,0.38,2,9.4623222,354.4089966,2.0576749,6,1,48.40405273,3,-0.186453
31,S-Hoh-ML-FR-1200,-124.166635,47.789367,115.0708861,0.2,3246,3.82987,49.1867981,0.0434247,UPL,HOH,UPL,1,1,0.365,1,0.625,1,0,327.2784119,3.8298745,9,1,19.55310059,3,0.0924953
32,N-Up-Hoh-MC,-124.042698,47.821061,120.7235253,0.07,3166,3.74999,86.7841034,0.258698,UPL,HOH,UPL,1,1,0.735,1,0.97,1,9.4623222,72.2515259,4.7715096,106,8,82.38763428,3,-0.237867
33,N-Mid-Hoh-MC,-124.129756,47.813808,113.7490586,0.44,3242,1.6648999,14.698,0.18921,RIV,HOH,RIV,3,3,0.075,3,0.685,3,0,8.0819654,2.2234156,109,8,46.25613403,2,1.1221
